"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 17 01:00:44 MSK 2026","Sun May 17 01:00:47 MSK 2026","3629","tests","test_order_page_details","TestOrderPageDetails","","","Проверка оформления заказа",""
"passed","Sun May 17 00:59:49 MSK 2026","Sun May 17 00:59:49 MSK 2026","297","tests","test_base_page","TestBasePage","","","Проверка ответа на 8-й вопрос",""
"passed","Sun May 17 01:00:17 MSK 2026","Sun May 17 01:00:18 MSK 2026","1702","tests","test_order_page","TestOrderPage","","","Проверка входа в сценарий, через верхнюю кнопку",""
"passed","Sun May 17 00:59:44 MSK 2026","Sun May 17 00:59:44 MSK 2026","299","tests","test_base_page","TestBasePage","","","Проверка ответа на 7-й вопрос",""
"passed","Sun May 17 00:59:12 MSK 2026","Sun May 17 00:59:12 MSK 2026","297","tests","test_base_page","TestBasePage","","","Проверка ответа на 1-й вопрос",""
"passed","Sun May 17 00:59:17 MSK 2026","Sun May 17 00:59:18 MSK 2026","299","tests","test_base_page","TestBasePage","","","Проверка ответа на 2-й вопрос",""
"passed","Sun May 17 01:00:00 MSK 2026","Sun May 17 01:00:04 MSK 2026","4181","tests","test_header_links_page","TestHeaderLinkPage","","","Проверка работы клика по ссылке яндекса",""
"passed","Sun May 17 00:59:33 MSK 2026","Sun May 17 00:59:34 MSK 2026","316","tests","test_base_page","TestBasePage","","","Проверка ответа на 5-й вопрос",""
"passed","Sun May 17 00:59:28 MSK 2026","Sun May 17 00:59:28 MSK 2026","312","tests","test_base_page","TestBasePage","","","Проверка ответа на 4-й вопрос",""
"passed","Sun May 17 00:59:39 MSK 2026","Sun May 17 00:59:39 MSK 2026","307","tests","test_base_page","TestBasePage","","","Проверка ответа на 6-й вопрос",""
"passed","Sun May 17 01:00:52 MSK 2026","Sun May 17 01:00:56 MSK 2026","3558","tests","test_order_page_details","TestOrderPageDetails","","","Проверка оформления заказа",""
"passed","Sun May 17 01:00:09 MSK 2026","Sun May 17 01:00:11 MSK 2026","1709","tests","test_order_page","TestOrderPage","","","Проверка входа в сценарий, через верхнюю кнопку",""
"passed","Sun May 17 00:59:54 MSK 2026","Sun May 17 00:59:55 MSK 2026","515","tests","test_header_links_page","TestHeaderLinkPage","","","Проверка работы клика по ссылке самоката",""
"passed","Sun May 17 01:00:37 MSK 2026","Sun May 17 01:00:39 MSK 2026","1727","tests","test_order_page","TestOrderPage","","","Проверка входа в сценарий, через нижнюю кнопку",""
"passed","Sun May 17 01:00:29 MSK 2026","Sun May 17 01:00:30 MSK 2026","1678","tests","test_order_page","TestOrderPage","","","Проверка входа в сценарий, через нижнюю кнопку",""
"passed","Sun May 17 00:59:23 MSK 2026","Sun May 17 00:59:23 MSK 2026","300","tests","test_base_page","TestBasePage","","","Проверка ответа на 3-й вопрос",""
